id,price_doc
30474,5816525.1287766155
30475,8663339.586353377
30476,5838208.058727003
30477,6084830.105813187
30478,5197207.104530438
30479,9548408.338892631
30480,4346776.493551722
30481,4391454.930326021
30482,4864152.812763833
30483,5031301.681789729
30484,6391177.918710768
30485,5036593.354867257
30486,3701071.754068476
30487,4365048.860487353
30488,6516435.251121405
30489,5955948.623199364
30490,23534328.2871354
30491,17674702.90090642
30492,6185027.31180656
30493,14137046.650659116
30494,7118863.853974121
30495,11068026.951718047
30496,8863703.812192913
30497,8183909.573921254
30498,4737572.637048182
30499,8567983.306006795
30500,11930747.251779905
30501,7451112.349345645
30502,3244357.711462706
30503,6864333.345843006
30504,6665307.687628155
30505,11524077.968551971
30506,3092988.5428043325
30507,4916416.579291901
30508,5312340.747857193
30509,8381346.29387916
30510,9666700.292559555
30511,7072769.285264254
30512,6684934.665045693
30513,4396269.784979418
30514,3384211.672331485
30515,10080040.827143688
30516,5781597.7975872215
30517,11368114.006200185
30518,7453924.837638997
30519,5148802.456881674
30520,7504539.643184416
30521,6327751.634490216
30522,7618880.216650435
30523,7072079.900969185
30524,10574665.770285668
30525,9895192.484189712
30526,4994267.667754279
30527,5149319.910047845
30528,6544953.5129297795
30529,6942628.998376802
30530,6696897.072291715
30531,14602523.723752037
30532,4809539.543017717
30533,11766732.826218136
30534,7002691.546433595
30535,9661515.800751356
30536,5662678.596260658
30537,12546829.142182607
30538,5129227.974872848
30539,8548059.028222883
30540,10001751.309384199
30541,6624996.578458372
30542,2322126.1429561498
30543,6353528.617086138
30544,7748194.2549715955
30545,9086496.561068201
30546,4321911.71217438
30547,10571600.727807174
30548,4622458.245820837
30549,5442486.439693992
30550,13262424.42978008
30551,5213805.417367028
30552,2046236.8813710061
30553,7912528.313224832
30554,12094416.363919675
30555,6089246.871022253
30556,9569629.897837479
30557,9104896.92575667
30558,9107285.862803621
30559,6719877.149630346
30560,6468888.14473082
30561,7816753.861742615
30562,12830526.413356138
30563,4937831.121152279
30564,7802528.110995628
30565,7207393.150744047
30566,7407222.884949937
30567,2287626.9052922027
30568,10643950.119739823
30569,10783816.32281345
30570,7105666.8654503245
30571,8123230.147614115
30572,4932493.184613108
30573,6428638.195614416
30574,6640916.113672031
30575,7646316.521452807
30576,4833552.927234252
30577,4591337.825336579
30578,3111201.715502701
30579,8279878.03407938
30580,5214440.111366115
30581,5682934.851178982
30582,13037604.248382883
30583,7223920.142016974
30584,4894963.736014141
30585,2820601.432408611
30586,9602112.484355135
30587,5919331.352204614
30588,8148490.91492697
30589,8564820.160929762
30590,13731776.741258886
30591,5611743.612530495
30592,7521736.882700065
30593,8361269.256516529
30594,6354521.790758478
30595,5842188.782225407
30596,6789070.646304754
30597,6409800.921304088
30598,9987800.595887236
30599,9901798.917429272
30600,4866558.878792922
30601,6692012.008945009
30602,2193135.2119494397
30603,12368626.855114024
30604,5183132.8694671225
30605,6686837.908011961
30606,19264377.01413868
30607,6901462.001477075
30608,9591078.862713158
30609,6069379.798802834
30610,3163927.1252757567
30611,5360016.954345732
30612,8030847.692424819
30613,9245773.503832089
30614,17638795.483043894
30615,8423460.857918352
30616,5467385.583529844
30617,9537944.12591789
30618,5343536.53247603
30619,4200556.8128316095
30620,2788404.1879896834
30621,9634170.847387606
30622,8558404.646008732
30623,6734342.344691895
30624,6770385.82561538
30625,7909960.204225825
30626,6984099.283187148
30627,7628532.750299518
30628,6358898.5199084245
30629,5409200.396592041
30630,4562176.83270755
30631,6406606.321142713
30632,4157629.043381996
30633,6503085.310454226
30634,12181565.65100539
30635,10060747.029910026
30636,5941117.441538596
30637,9785063.127014147
30638,6704512.882995299
30639,8228126.987162626
30640,4775276.292620231
30641,8231310.52923746
30642,6780013.9931710325
30643,8572090.692917129
30644,9987800.595887236
30645,7917906.47057919
30646,5581311.7208467275
30647,4890418.918645528
30648,25720650.570768166
30649,2728884.937721562
30650,5308070.116746915
30651,3229086.1537120207
30652,4657353.233355357
30653,6768058.226494796
30654,4647109.9994262075
30655,12442251.615857849
30656,3863085.151232343
30657,6581000.023200852
30658,10686083.183492256
30659,4997594.785127151
30660,9028031.130913133
30661,6585676.5964449
30662,8505109.685751587
30663,16486619.870974999
30664,12109268.93163684
30665,6092283.658205693
30666,2667386.122721871
30667,4254183.950100946
30668,9463395.995559242
30669,5340734.489201187
30670,2562398.91127627
30671,7335893.737204826
30672,15388765.593873927
30673,10392160.140888745
30674,12626037.586864244
30675,2322126.1429561498
30676,7432316.339444865
30677,4687553.353816216
30678,21448513.238314
30679,6447576.163364807
30680,5200113.278778349
30681,2301711.5519670425
30682,9130864.401194781
30683,10049406.611260388
30684,5377740.0422775615
30685,7731629.349840359
30686,9721666.21732721
30687,5086641.246962839
30688,4698890.045151827
30689,14945101.950909998
30690,26847423.454903964
30691,4915723.854146331
30692,7005763.5773051595
30693,11760767.279466795
30694,5637097.744507326
30695,7637244.975466637
30696,7292735.616608201
30697,12215626.227581218
30698,8100414.187554012
30699,6112276.939455907
30700,5019382.301196581
30701,9987800.595887236
30702,7115328.926926563
30703,3873284.294990419
30704,12366850.792079087
30705,9233308.03215725
30706,28594648.792187255
30707,3599453.6812340883
30708,15588584.334386203
30709,5768800.291205657
30710,7594836.471354707
30711,4813476.364877552
30712,4051745.147123878
30713,6394035.764296695
30714,7404734.227769544
30715,3796148.30619829
30716,10011909.50055139
30717,6939151.797020763
30718,8419619.567760516
30719,14991977.294874642
30720,8216094.571558847
30721,4280820.474329687
30722,7745449.81668088
30723,6482197.226625432
30724,12108639.023402397
30725,6486536.0015807105
30726,12288268.708967535
30727,10119480.276789153
30728,11685367.650690269
30729,3644267.0700723976
30730,6618171.293128068
30731,6198636.744988007
30732,5315819.049861812
30733,10695515.777601337
30734,6755928.103708942
30735,5716527.511527549
30736,5289665.450988609
30737,6702484.024703689
30738,6563987.92855265
30739,4283857.052655471
30740,7069713.795693726
30741,10996436.799435277
30742,4098526.4238095833
30743,4911927.128636256
30744,9744481.119937979
30745,7230831.653907961
30746,5765574.292146577
30747,15301982.034368832
30748,18009250.26232079
30749,5316274.899101989
30750,6932294.175083862
30751,3508849.418796925
30752,7084167.526791287
30753,10606334.209493428
30754,6419749.5744997775
30755,4306767.076974536
30756,6274956.230404879
30757,5851258.634177278
30758,10035815.419369021
30759,6593361.6323059695
30760,4428454.737952314
30761,10058301.030780425
30762,6717468.879648127
30763,12962677.264630064
30764,6067113.264399847
30765,5917397.576895756
30766,3704366.905633056
30767,9021607.965799233
30768,4803118.258405553
30769,8206332.27042141
30770,6086365.654600566
30771,3040690.980504442
30772,8633458.471667092
30773,7856557.179507815
30774,5608705.960865048
30775,13692561.853673307
30776,6289342.512343382
30777,6092020.552520107
30778,9295210.424415281
30779,6821898.325070105
30780,8331702.169312494
30781,6610865.008800168
30782,5486427.594549915
30783,5492741.497365569
30784,3728697.8556701387
30785,5458108.810562547
30786,4345287.323901518
30787,6065635.196450772
30788,5686618.187974722
30789,7699365.631330821
30790,7165732.42250664
30791,10372343.966934424
30792,6825930.355165281
30793,10890667.360548047
30794,13214077.832189245
30795,11686536.534303544
30796,11344473.966988837
30797,15321479.208693404
30798,2814159.386723665
30799,10429063.795299768
30800,15174945.204882398
30801,6010438.643216069
30802,15929636.288601754
30803,2857159.170724123
30804,3565918.9089432457
30805,15757697.456951616
30806,6778769.002541248
30807,6542733.400501217
30808,10980984.61747459
30809,5013219.573881189
30810,11775390.212179452
30811,4471001.395084752
30812,5900017.924659887
30813,5604759.633958525
30814,2696473.448891747
30815,4227763.324663301
30816,8851581.8867375
30817,2241365.218021769
30818,8625089.849136446
30819,8234175.825692202
30820,5430676.907703745
30821,25617317.63046203
30822,9501816.621408775
30823,7848554.425543432
30824,3605984.4342272226
30825,5116136.337946526
30826,11167872.808221178
30827,5344875.834250381
30828,5875497.9282878935
30829,5615345.243503856
30830,9567169.201570641
30831,6406343.601369935
30832,5736255.310886814
30833,5307986.754566227
30834,4150433.0151883285
30835,8366737.9656296605
30836,6636964.302070647
30837,5465385.5721910745
30838,4849420.263905733
30839,6256418.6451830845
30840,11944469.043546507
30841,12182094.303844828
30842,7651063.129486384
30843,5673907.730385414
30844,6195219.392474906
30845,10175868.754784856
30846,4335326.237909578
30847,6160137.89604736
30848,8607093.33142576
30849,4499862.231524144
30850,4058878.0144058955
30851,4837664.705386978
30852,7120829.964385049
30853,3985172.7132084128
30854,6306684.049364438
30855,7657449.5788336415
30856,9698281.380001327
30857,2264156.8688277053
30858,4291963.434035409
30859,5810692.478846402
30860,6325311.542508929
30861,8944738.091646167
30862,6843118.348640321
30863,5400772.126377949
30864,6185389.661019062
30865,10108090.506680049
30866,6882513.986750119
30867,5974802.589364641
30868,9101653.8002817
30869,5834510.712238541
30870,6602346.648381242
30871,8880556.007022312
30872,4841421.029978606
30873,3778591.061595836
30874,5343819.374402073
30875,7426859.390567405
30876,5064151.257524466
30877,10955737.793169122
30878,5662637.932232401
30879,8178466.632945693
30880,5973950.148632289
30881,2234208.5829757857
30882,10748552.816327466
30883,3396936.564127822
30884,5698418.072138404
30885,5547342.1555995215
30886,7321239.955216703
30887,5966571.559785222
30888,4600193.977166317
